State Code,Area Name,Total/ Rural/Urban,Disability,Age-group,Total disabled population - Persons,Total disabled population - Males,Total disabled population - Females,Main worker - Persons,Main worker - Males,Main worker - Females,Non-worker - Persons,Non-worker - Males,Non-worker - Females
1,State - JAMMU & KASHMIR (01),Total,Total,Total,361153,204834,156319,67698,60947,6751,239621,110886,128735
1,State - JAMMU & KASHMIR (01),Total,Total,0-14,73391,40792,32599,679,452,227,70566,39183,31383
1,State - JAMMU & KASHMIR (01),Total,Total,15-59,203461,119724,83737,57237,51603,5634,104708,43141,61567
1,State - JAMMU & KASHMIR (01),Total,Total,60+,83887,44061,39826,9691,8809,882,64065,28415,35650
1,State - JAMMU & KASHMIR (01),Total,Total,Age not stated,414,257,157,91,83,8,282,147,135
1,State - JAMMU & KASHMIR (01),Total,In-Seeing,Total,66448,35656,30792,12022,10725,1297,44167,18796,25371
1,State - JAMMU & KASHMIR (01),Total,In-Seeing,0-14,13456,7317,6139,113,72,41,12861,6961,5900
1,State - JAMMU & KASHMIR (01),Total,In-Seeing,15-59,32138,17732,14406,9393,8344,1049,15684,5324,10360
1,State - JAMMU & KASHMIR (01),Total,In-Seeing,60+,20790,10568,10222,2506,2299,207,15573,6484,9089
1,State - JAMMU & KASHMIR (01),Total,In-Hearing,Total,74096,42744,31352,18937,17339,1598,44241,18929,25312
1,State - JAMMU & KASHMIR (01),Total,In-Hearing,0-14,16482,8818,7664,188,132,56,15815,8453,7362
1,State - JAMMU & KASHMIR (01),Total,In-Hearing,15-59,40826,25079,15747,16379,15059,1320,16395,5399,10996
1,State - JAMMU & KASHMIR (01),Total,In-Hearing,60+,16661,8757,7904,2328,2109,219,11960,5037,6923
1,State - JAMMU & KASHMIR (01),Total,In-Hearing,Age not stated,127,90,37,42,39,3,71,40,31
1,State - JAMMU & KASHMIR (01),Total,In-Speech,Total,18681,11351,7330,3472,3148,324,12133,6098,6035
1,State - JAMMU & KASHMIR (01),Total,In-Speech,0-14,5534,3340,2194,40,27,13,5313,3207,2106
1,State - JAMMU & KASHMIR (01),Total,In-Speech,15-59,11422,7013,4409,3116,2835,281,5690,2386,3304
1,State - JAMMU & KASHMIR (01),Total,In-Speech,60+,1700,979,721,310,280,30,1115,496,619
1,State - JAMMU & KASHMIR (01),Total,In-Movement,Total,58137,35145,22992,10570,9541,1029,38814,19545,19269
1,State - JAMMU & KASHMIR (01),Total,In-Movement,0-14,7854,4624,3230,61,38,23,7625,4499,3126
1,State - JAMMU & KASHMIR (01),Total,In-Movement,15-59,35178,21895,13283,8979,8085,894,19324,9083,10241
1,State - JAMMU & KASHMIR (01),Total,In-Movement,60+,15065,8606,6459,1523,1413,110,11833,5949,5884
1,State - JAMMU & KASHMIR (01),Total,In-Movement,Age not stated,40,20,20,7,5,2,32,14,18
1,State - JAMMU & KASHMIR (01),Total,Mental-Retardation,Total,16724,9798,6926,1998,1762,236,12744,6793,5951
1,State - JAMMU & KASHMIR (01),Total,Mental-Retardation,0-14,3857,2200,1657,28,20,8,3738,2132,1606
